Date,JPM,USB,WFC,CMA,C,BAC
26/02/1998,-0.8707398,0.1802184,0.1194894,-0.7012285,0.2993284,-0.0394383
27/02/1998,-0.8750279,0.1228489,-0.1175344,-0.143864,-0.5044153,-0.9479631
03/02/1998,-0.8272268,0.1611621,0.5990435,-0.6608957,-0.2689136,1.3273018
03/03/1998,-0.3263824,-0.0485775,-0.1764786,0.1181462,-0.34197,-0.4536665
03/04/1998,0.8922442,0.9589334,0.7917364,0.9577686,1.2374355,0.9393576
03/05/1998,-1.0556496,-0.7200719,-0.6040017,-0.1725436,-1.073199,-0.842335
03/06/1998,1.1749979,-0.1650809,0.0831881,0.1648676,0.2653034,0.1538374
03/09/1998,-0.7222512,-0.0763083,-0.4727425,-1.0871819,-0.8247637,-0.8189931
03/10/1998,-0.710516,0.3161293,-0.3987249,-0.3785011,-0.4929727,-0.982954
03/11/1998,3.0634579,1.8339187,-0.1905306,-0.2736858,1.0187156,1.6745252
03/12/1998,-0.225495,-0.0792232,0.1326422,-0.3061537,-0.2617946,-0.3187904
13/03/1998,0.083392,0.1569761,0.4320177,0.3687172,0.5059021,0.4449922
16/03/1998,-0.488462,0,0.1878845,-0.2660086,-0.5258499,0.0553707
17/03/1998,0.5785946,0.6696433,0.4947687,1.2900461,1.3828205,1.0382141
18/03/1998,0.8840514,0.7178577,0.3806375,1.5048566,0.0445345,1.4017275
19/03/1998,-0.2304029,-0.1228489,0.9493192,2.0590919,1.1175459,0
20/03/1998,0.0720734,0.9240784,1.7332338,2.1994292,0.6249002,2.3664042
23/03/1998,-3.3770738,-0.2415085,-0.7475251,-1.2468771,-2.5381697,-3.3608579
24/03/1998,-0.3018435,-0.3184894,-0.1971533,0.0745576,-0.8664227,-0.4722228
25/03/1998,0.4889691,-0.0203965,0.024997,-0.2575341,0.3438402,0.3298833
26/03/1998,-0.972914,-0.5380568,-0.5994688,0.0330403,-0.5377598,-0.1538374
27/03/1998,0.3702447,0.4213437,0.1611412,0.3871444,-0.2327838,-0.0476931
30/03/1998,0.7160276,1.1587061,0.9436,1.2367661,1.1281045,1.3953239
31/03/1998,-0.670177,-0.3358166,-0.4706617,-0.9394584,-0.8734671,-1.3100351
04/01/1998,-0.0642845,-0.2048108,0.1269291,-2.3533341,-2.297443,-0.3010104
04/02/1998,-0.7341491,-0.236818,-0.3368407,-0.7844497,-0.8492264,-0.5544399
04/03/1998,0.3180252,-0.0151719,0.3793621,0.2802377,0.2664073,0.4067514
04/06/1998,-0.7164391,-0.3194474,-0.2390013,-0.6715321,-0.5932746,-0.3585837
04/07/1998,-1.3984641,-1.5622158,-0.5573344,-2.1786357,-0.5867973,-1.2769278
04/08/1998,2.4118604,3.4865462,0.7304303,1.1490363,3.0440601,1.9564049
04/09/1998,-0.6444587,1.7874538,-0.1412265,-0.3371048,0.2524827,0.953404
13/04/1998,3.611829,-0.0802053,1.354935,1.0132722,3.7616266,3.6614259
14/04/1998,-0.0903108,-0.2117755,0.0189901,0.2039336,0.0368614,-0.2232885
15/04/1998,-0.1929399,-0.0422785,0.0770393,-0.0958332,-0.2247172,0.4163964
16/04/1998,0.0213849,-0.4362791,-0.661789,-0.5105386,-0.1640815,0.0509761
17/04/1998,-1.1164209,-0.5658994,-0.5507839,-0.3512092,-1.4135805,-0.911779
20/04/1998,0.4722257,0.5649961,0.9639109,0.9961755,1.8105574,1.7556728
21/04/1998,-0.9231124,-1.3713584,-1.3153665,-0.8042685,-0.9048138,-0.8166792
22/04/1998,-1.3381532,-0.5280887,-0.9410638,-0.4841047,-1.2314563,-0.2721383
23/04/1998,-0.25623,-1.2461421,-1.2651012,-0.6181795,-0.043429,-1.0946416
24/04/1998,-0.2288458,0.224502,0.1253719,0.1684609,0.0576459,0.0411497
27/04/1998,-0.4271332,-0.3779743,-0.4237798,-0.3683724,-0.492069,-0.3474664
28/04/1998,0.5672255,0.4264587,-0.0680336,0.0270152,0.7334997,0.2479297
29/04/1998,-2.0490424,-1.373021,1.5734523,-0.8707725,1.1816125,0.5131535
30/04/1998,0.249481,-0.4838772,1.1429409,0.056002,0.1268062,-0.7045126
05/01/1998,-0.6425667,-0.7546188,1.8749367,0.1867761,-0.2748857,1.6912576
05/04/1998,-0.0914976,-0.0566082,0.1523711,0.0532671,-0.2184226,-0.2423331
05/05/1998,0.3558979,-0.0904524,-0.1043635,0.2142408,0.1940252,-0.1389763
05/06/1998,-0.3833295,-0.4415549,-0.7306373,-0.5075862,-0.2835397,-0.361103
05/07/1998,-0.1423744,-0.2114788,-0.3760246,-0.4795161,-0.3587765,0.2044993
05/08/1998,-1.5592941,0.0948797,-1.000552,-1.3806783,-2.7393771,-2.2348005
05/11/1998,-0.7011038,-0.6697774,-0.9486753,-0.8252008,-0.6664401,-0.7380119
05/12/1998,1.8325178,-0.1746022,1.6566466,0.1022507,2.1049234,0.89704
13/05/1998,-6.1899361,-3.5601213,-5.3587277,-4.9218114,-1.3673031,-4.0408939
14/05/1998,0.00928764,0.0130962,-0.1084047,0.00756095,-0.2187746,0.1576738
15/05/1998,0.3053989,0.1352773,0.2890231,-0.0146869,0.3474456,-0.0719878
18/05/1998,-0.2716067,-0.5683174,-0.2728891,-0.437938,-1.2253528,-0.7450776
19/05/1998,-0.6161989,-0.7435951,-0.4817461,-0.6084134,-0.5674728,-0.3412335
20/05/1998,2.4823872,1.118417,0.6040376,-0.2003643,1.0415101,1.6086935
21/05/1998,-1.4067265,-1.6524293,-0.1445051,-0.8325271,-1.3132789,-1.1332561
22/05/1998,-0.5760036,1.1975613,0.9687274,-0.6503065,-0.6121574,-1.0838627
26/05/1998,0.1969579,0.178158,0.2497572,0.4764025,0.1819409,0.1729587
27/05/1998,0.2476067,0.2416087,-0.6863086,0.3374615,0.3346474,0.1389763
28/05/1998,0.3619449,0.3676448,0.4318009,0.9136691,0.3611974,0.3890029
29/05/1998,-0.39131,-0.2431017,-0.2846989,-0.5657228,-0.1802195,-0.3797309
06/01/1998,-2.6514173,-2.2760536,-1.7237651,-3.3154363,-2.3355749,-3.4028391
06/02/1998,-0.6372822,-0.7716829,-0.295333,-1.1803213,-0.5476832,-0.2854041
06/03/1998,-0.3882274,-0.6342996,-0.3059385,-1.3674015,1.699421,-0.9463317
06/04/1998,0.1569245,-0.3658371,-0.369923,-0.7705315,0.2843001,0.3830846
06/05/1998,-0.3787478,-0.0261991,-0.2399436,-0.5184114,-0.1307523,-0.2073329
06/08/1998,-0.65899,-0.7610126,-0.6054506,-0.5829363,-0.3186009,-0.7538817
06/09/1998,0.7868628,0.3131444,0.0220556,-0.0725894,0.2384862,0.302373
06/10/1998,-1.030445,-0.6008729,-0.538888,-1.5690923,0,-2.1837418
06/11/1998,-1.7875178,-0.6249019,-0.6040376,-0.8413724,-1.4002299,-0.6607304
06/12/1998,0.4871914,-2.1464965,-0.7864364,-0.3286203,0.3711697,-0.0971404
15/06/1998,0.3040588,0.2931136,0.3162655,0.4151372,0.1888091,0.3479908
16/06/1998,0.1767945,0.1618217,0.5160734,-0.1878011,-0.0466341,0.0278487
17/06/1998,0.0411487,0.1609387,-0.1113428,0.0546952,-0.6230799,-0.508296
18/06/1998,-0.0946472,-0.3810602,-0.0616365,-0.3957506,-0.4726904,-0.4700024
19/06/1998,-0.3219926,0.3620669,0.6026992,0.1421052,-1.2400133,-0.5628102
22/06/1998,1.208083,0.8857709,0.9087656,0.9204729,0.4375883,1.0881945
23/06/1998,-0.5604945,-0.773706,-0.8821586,-0.9365422,-0.9735386,-0.2387747
24/06/1998,0.3880228,0.1443479,0.3966245,0.5259776,0.1744087,0.3822698
25/06/1998,-0.0754029,-0.2065902,-0.2704646,-0.5037556,-0.2015324,-0.3921294
26/06/1998,-0.2967496,-0.3279928,-0.2201254,-0.4758812,-1.4579724,-0.2829385
29/06/1998,0.6723237,0.180599,0.8133525,-0.1448608,-1.307457,-0.1785746
30/06/1998,-3.3744785,-3.9277855,-1.1270642,-1.4748125,-2.4272459,-1.0955087
07/01/1998,-0.348809,-1.8224789,-1.183444,0,-0.8590057,-0.8491522
07/02/1998,0.4741372,0.6419456,0.5322795,0.7069759,0.3370252,0.2804171
07/06/1998,0.2434577,0.2642589,0.5509475,0.00936884,0.1681204,0.279468
07/07/1998,-0.1489795,0.2013926,0.0977757,-0.2585912,-0.1459268,-0.2300028
07/08/1998,-0.5400209,-0.1494622,-0.352403,-0.87762,-0.2168157,-0.2962408
07/09/1998,0.0841353,0.1901186,-0.233459,-0.1627109,0.3060307,0.2814045
07/10/1998,-1.238663,-0.3980996,-1.0928332,-0.9154496,-1.9611737,-1.4661059
13/07/1998,6.7254552,1.4175684,3.1681303,6.0005647,9.3505845,8.8362009
14/07/1998,-0.2276348,0.4625739,0.12828,0.2577015,-0.089877,-0.118862
15/07/1998,0.2046213,-0.0656712,0.2300026,-0.1885769,0.0962375,0.2091868
16/07/1998,-0.4993363,-0.6575102,-0.2687906,-0.3207883,-0.08608,-0.289304
17/07/1998,-0.3048623,-0.0701721,0.0588672,0.4734923,0.3153723,-0.2569107
20/07/1998,-1.2282962,-1.292526,-1.3014817,-2.3351319,-2.2347014,-1.9698381
21/07/1998,-0.9196337,-2.9465165,0.3459846,-0.0633237,-0.9938007,-0.055225
22/07/1998,0.2905065,0.1191382,1.7266775,0.7914358,0.6045949,0.9501588
23/07/1998,-0.3986833,1.5240025,-0.8888157,-0.5041649,-0.537006,-2.2352646
24/07/1998,0.6118866,0.4751901,0.8738633,0.9881373,0.9703876,0.5663287
27/07/1998,-1.2018634,-0.5138392,-0.9843045,-1.2383498,-1.1588758,-0.8293545
28/07/1998,0.7212773,0.344512,0.5996097,0.7211847,1.0402258,0.6936521
29/07/1998,0.2609962,0.3688277,0.4637458,-0.702207,0.8483771,0.4749588
30/07/1998,0.073741,0,0.1349882,-0.4309359,-0.1532869,-0.3281473
31/07/1998,-0.00963897,0.6149393,-0.4398394,0.656744,-1.6012768,0.0492917
08/03/1998,5.1786055,4.2528075,4.4065511,6.7006181,7.4356664,5.0868507
08/04/1998,2.3607151,1.752961,1.8244897,1.6848562,2.1535219,1.4661764
08/05/1998,-0.3435963,-0.2225499,-0.109104,0.2415144,0.351727,0.2776401
08/06/1998,1.3325872,1.1184068,0.8413206,0.9535151,1.6218498,0.9476435
08/07/1998,-2.2966453,-0.2844896,-0.7355682,-0.5129087,-1.0173999,-1.1314586
08/10/1998,-0.5080934,-0.7295856,0.2587959,0.5654156,-0.2860856,0.5715592
08/11/1998,-2.3266175,-0.8272429,-1.1093639,-1.4723287,-1.2501928,-0.9501588
08/12/1998,-0.2442675,1.0035547,0.5705277,0.0545984,0.4999223,0.1945162
13/08/1998,-1.831812,-0.9946015,-0.477254,-0.7231127,-2.5268119,-2.2179699
14/08/1998,-1.0207879,-0.7236616,-1.2382345,-1.6382659,-0.7832843,-1.2683008
17/08/1998,0.2310457,0.3267688,0.1657224,0.5017879,0.0248745,0.1556771
18/08/1998,-0.040888,0.0115838,-0.0405182,0.3390468,0.1699819,0.0597469
19/08/1998,-0.3988441,-0.9299611,-0.9724121,-0.8229489,-0.9209947,-1.1520298
20/08/1998,-0.996701,0.2099422,-0.0834039,-0.3167904,-0.2193436,-0.4834589
21/08/1998,0.3004763,-0.7292669,-0.9404257,-1.6513015,2.2172987,0.89704
24/08/1998,-5.6502041,-2.4439923,-1.9062235,-1.8177403,-5.0222877,-3.5988429
25/08/1998,-0.2390727,0.0269091,0,-0.3244744,-0.5717605,-0.3842628
26/08/1998,0.076752,-0.1630787,0.0805815,-0.2859046,-0.2122294,0.3123025
27/08/1998,0.075266,0.0360038,0.1375432,-0.0275344,0.2325646,0.1842128
28/08/1998,-0.3212331,-0.6924487,-0.7056351,0.3921649,-0.1164339,-0.5895081
31/08/1998,-2.4083756,-0.6079405,-0.7423817,-1.3728146,-3.0182437,-2.5599858
09/01/1998,0.3143065,-0.1126509,-0.4996133,0.5497481,0.1258812,0.1464947
09/02/1998,0.7124238,0.910846,0.87902,0.4052619,0.1892343,1.640819
09/03/1998,-0.5377164,-0.4361732,-0.6828939,-0.2988721,-0.6224935,-0.5017565
09/04/1998,0.3808397,0.3706604,0.2025857,0.5663843,0.4899838,0.0532267
09/08/1998,0.0362146,0,0.3082795,-0.3917219,0.0414911,-0.0779015
09/09/1998,0.4518425,0.4305086,0.7146545,0.3417145,0.4364671,0.1197253
09/10/1998,-0.4908917,0.1082046,-0.415759,-0.1217768,0.6034109,-0.5965752
09/11/1998,0.0106039,0.0574382,-0.464135,-0.7418145,0.5504394,-0.5098148
14/09/1998,1.4438288,1.2549764,1.2432799,3.5929154,0.8352081,1.173824
