Date,JPM,USB,WFC,CMA,C,BAC
02/07/1980,0.135485461,0,-0.445385268,0,-0.494443012,1.802323502
03/07/1980,0.135092514,0,0,0,0.65802012,0
07/07/1980,0,0,0.445385268,0.432111507,0.808786733,0.700517613
08/07/1980,0,0,0.440864003,0,-0.321714139,1.029980273
09/07/1980,-0.135092514,0,-1.336249502,0,0.161160724,-0.340638286
10/07/1980,0.403995142,0,0,0,-0.322921722,-0.689341987
11/07/1980,0.133843591,0,-0.45487485,0.427885675,0,1.029980273
14/07/1980,1.445600269,0,0,0,-1.820182803,-0.340638286
15/07/1980,-0.520124945,0,-0.459524876,-0.427885675,-0.509900682,0.340638286
16/07/1980,0.649195452,0,0.459524876,0,-0.343313017,0.673364481
17/07/1980,0.256968924,0,0.45487485,0,-0.172701299,-0.335377206
18/07/1980,0.382638182,0,0.45000023,1.686815365,0.516014316,0.998407216
21/07/1980,2.106837307,0,0,0,0.509900682,-1.33639449
22/07/1980,-1.601832622,-0.827393598,0.886249271,0,-0.681257896,-0.340638286
23/07/1980,-1.14461179,0,-0.440864003,0,0,-0.689341987
24/07/1980,0.256968924,-0.419684014,0.877452481,0,0,-1.772888422
25/07/1980,-0.515494674,0,0,0,-0.171955804,0.360426479
28/07/1980,-0.390669701,0.419684014,-0.229809802,0,0.343313017,1.063615541
29/07/1980,0.260854809,0,-0.445365126,0,0.170616689,1.378826675
30/07/1980,0.129814892,0,0.88636351,1.223402648,0,0.673364481
31/07/1980,0,0,-0.440998384,-0.811770651,0.169979393,-2.052191156
01/08/1980,-0.390669701,0.415667149,0,-0.205358515,0,0.694857176
04/08/1980,-0.394188092,0,0.440998384,-0.621905644,0,1.021956774
05/08/1980,-0.531287233,0,0.868634703,0,0,-0.337987274
06/08/1980,0.266428065,0.411726449,-0.432221974,0,1.336379593,-0.340638286
07/08/1980,0.65904726,0,-0.436412729,0,1.930548806,1.014002767
08/08/1980,-0.262403362,0,0.436412729,-0.419617409,-0.954519273,-1.014002767
11/08/1980,-0.26402635,-0.411726449,0,-1.283677301,-0.485287482,0.67862556
12/08/1980,0.13224162,-0.415667149,0.432221974,0,-0.987039193,-0.67862556
13/08/1980,-0.264859168,0,0.64014968,0,0.166073237,-1.3898596
14/08/1980,0.132617548,0,0,0,-0.668161756,0.700517613
15/08/1980,1.046554656,0,0,0,0.335371803,0.689341987
18/08/1980,-0.520124945,-0.419684014,-0.212336528,-0.436518522,-0.335371803,-1.038188389
19/08/1980,-0.130989681,0,-0.427813152,0,0.168006626,-0.706155684
20/08/1980,-0.131413681,0.419684014,0,-0.440885615,-0.675979951,0
21/08/1980,0.131413681,0.415667149,0.427813152,0,0.675979951,-0.357459857
22/08/1980,0.130989681,0,0,-0.445473028,0.167365177,0
25/08/1980,0,0,-0.427813152,0,-0.673365735,0
26/08/1980,0.520124945,0,0,0,-0.169979393,0.357459857
27/08/1980,-0.914313036,0,-0.432221974,0,-0.686631005,0
28/08/1980,-0.397854863,0,0,-0.450056625,-0.347445424,0
29/08/1980,0.265613243,0,0,0,0.520146723,-0.357459857
02/09/1980,0.657052966,-0.835351163,0,0,0.343313017,0.357459857
03/09/1980,1.537449132,0,0.860035126,0.450056625,0.170616689,0.706155684
04/09/1980,-0.50647744,0,-0.427813152,-0.450056625,0.339283994,0.348846402
05/09/1980,-0.255430571,0,0,0,0.336695958,-0.348846402
08/09/1980,0.255430571,0,-0.868634703,0,0.994598142,-0.706155684
09/09/1980,-1.030971692,-0.851307008,0.436412729,-0.914283563,1.132314463,0.354484473
10/09/1980,0.38950169,0,1.072371654,0,-0.64342576,0.351671211
11/09/1980,0.768677613,0,0,-0.464496701,-0.325311596,0
12/09/1980,-0.127207611,0,0,0.464496701,0,-0.351671211
15/09/1980,0.253990372,0,-0.212336528,-0.464496701,-0.492597259,-1.802323502
16/09/1980,-0.253990372,0,0.212336528,0.464496701,-0.331496098,0
17/09/1980,0.127207611,0,0.839260311,0.459547692,0.331496098,0.366509939
18/09/1980,0.126782762,0,-0.839260311,0.454735871,-0.331496098,0
19/09/1980,-0.126782762,0,-0.64014968,0.450056625,0.660516249,-1.108880907
22/09/1980,-0.127207611,0,-0.432221974,0.886358643,0.163577108,-0.376029655
23/09/1980,0.127207611,0,-0.436412729,-0.440885615,-0.327796215,-0.379313928
24/09/1980,-0.254735107,-0.432210054,-0.88636351,0.440885615,0.490742052,0
25/09/1980,-0.643397749,0,0.445365126,0.436518522,0,0
26/09/1980,-2.125407348,-0.436554684,-0.895344795,0.432111507,-1.827121644,-1.551215496
29/09/1980,-0.686118201,-0.440987547,0.449979668,0,-0.511953295,-1.200873412
30/09/1980,0.412958749,0,0,0,-0.344657103,-0.40780737
01/10/1980,-0.412958749,0,0,0,0.516014316,-0.827218133
02/10/1980,0.686118201,-0.895190539,-0.449979668,0,1.34675177,0.415612084
03/10/1980,0.809262322,0,0.449979668,0,0.330223905,0
06/10/1980,0.399045613,0,0.445365126,0,0.327796215,0.411606049
07/10/1980,0.26402635,0,0.440998384,0,0,-0.411606049
08/10/1980,0,0,0.436412729,0,0.162945836,0.819413419
09/10/1980,0.131413681,0,0.432221974,-0.432111507,0.645840897,0
10/10/1980,0,-0.454838525,-0.868634703,0,-0.483475137,0
13/10/1980,0.39184449,0,0.436412729,0,-0.325311596,0
14/10/1980,0,0,0,-0.436518522,-0.327796215,-0.40780737
15/10/1980,-0.787284521,0,0,-0.440885615,0.490742052,0.40780737
16/10/1980,0.13224162,0,0,0,0,-0.819413419
17/10/1980,0.13178473,0,-0.436412729,-0.895529653,-0.987039193,-0.415612084
20/10/1980,-0.13178473,0,0.436412729,0,-1.696692849,0.415612084
21/10/1980,0,0.454838525,-0.436412729,-0.454735871,0,-0.415612084
22/10/1980,-0.13224162,0,-0.440998384,0,0,-0.419627879
23/10/1980,-0.265613243,-0.454838525,-0.445365126,-0.459547692,-0.347445424,1.246846012
24/10/1980,0,-0.924222061,-0.449979668,0,0,-0.411606049
27/10/1980,0.265613243,0,0.449979668,-0.464496701,-0.350260087,-0.415612084
28/10/1980,0.13224162,0,0,0.464496701,-0.353069856,0.415612084
29/10/1980,0,0.46456953,-0.449979668,-0.464496701,0.353069856,0.411606049
30/10/1980,0,0.459652531,0,-0.944168425,-0.353069856,-0.411606049
31/10/1980,0,0,0.674797966,-0.479894903,0.353069856,0
03/11/1980,-0.13224162,0,0.450046896,0,-0.176154013,0.411606049
05/11/1980,0,0.904962836,0.445430982,0,-0.176915843,0.81182098
06/11/1980,-1.344672899,0,-1.350237359,-0.485257042,0,-1.639039113
07/11/1980,0,0,0.454759481,0.485257042,-0.177601252,-0.843349916
10/11/1980,0.272303093,0,0,-0.485257042,-0.357454145,-0.427827211
11/11/1980,0.539480602,0,0.895477878,0,0.17910443,1.271177127
12/11/1980,0.665130823,0,1.737397584,0.485257042,0.178349715,1.639039113
13/11/1980,0.914313036,0,0,0,-0.178349715,-0.40401361
14/11/1980,0.129070507,-0.450124311,0,0,-0.72087311,-1.654653383
17/11/1980,-1.175625164,-0.454838525,0,0,0.54176868,0.835239964
18/11/1980,0,-0.924222061,0,0,0.17910443,-0.835239964
19/11/1980,-1.072369806,0,0,0,-0.358944102,0
20/11/1980,-0.135938129,-0.469592865,0,-0.485257042,0.358944102,0
21/11/1980,-0.686118201,0,-0.860011285,-1.997099247,-0.539544536,0
24/11/1980,0.275760971,0,-0.436477505,-2.093380964,-0.729894998,0.835239964
25/11/1980,0.137197779,0,0,2.093380964,0.183641754,0.411606049
26/11/1980,-0.274859392,0.469592865,0,0,0.182848894,-0.411606049
28/11/1980,0,0.46456953,-0.440908794,-0.513971106,-0.366490648,0
01/12/1980,-0.415593185,0.459652531,0.440908794,0,-0.555630927,-0.835239964
02/12/1980,0.138983158,-0.459652531,0.436477505,-0.520126681,-0.186761113,0.419627879
03/12/1980,-0.278412519,0,0.432134404,0,-0.755330954,-1.271177127
04/12/1980,0.416923188,0,0.427876882,0,0.190064487,0.427827211
05/12/1980,-0.416923188,0,-0.427876882,-0.52639263,0.189222793,-0.427827211
08/12/1980,0.139429361,0,-0.868611909,-0.532890547,-0.189222793,-0.432154097
09/12/1980,-0.419608613,0,0,0,-0.765279555,-0.436497596
10/12/1980,0.140300814,0,0,0,-1.372608885,0
11/12/1980,0.139878438,-0.46456953,0,-0.539550397,0,0
12/12/1980,-0.280179252,0,1.296488791,0,0.396606468,0.436497596
15/12/1980,0.280179252,0,1.051676698,0,1.360310695,0
16/12/1980,0.416923188,-0.469592865,1.631331525,0,-0.772103469,0
17/12/1980,1.361536933,0.934162395,1.184503607,0.539550397,0.194330437,0.859981308
18/12/1980,1.189942169,0,2.460759092,1.059283177,0.768679822,2.482389029
19/12/1980,0.130231555,0,0.729917509,0.520126681,0.190064487,-0.40401361
22/12/1980,0.645309567,0,0.360409323,0,0.377644906,0.40401361
23/12/1980,-0.775541122,0.459652531,-1.090326832,0,0.187621561,1.189904723
24/12/1980,0.260046447,0,-1.11853736,0,1.290958463,-0.393044921
26/12/1980,-0.129814892,-0.459652531,0,0,0.361929008,0
29/12/1980,0,-0.934162395,-1.342221732,-0.520126681,0.358944102,-0.796859802
30/12/1980,0,0.469592865,0.387762512,0,0.355950967,-0.40401361
31/12/1980,0.900740137,0.924222061,0.95445922,0.520126681,-0.355950967,0.40401361
02/01/1981,0.253990372,0,-0.379164836,0,0.884519645,0
05/01/1981,2.461277315,-0.459652531,2.227619705,0,0,2.348075298
06/01/1981,-0.60237265,1.364615367,0.360409323,0,1.378817086,0
07/01/1981,-1.23037871,0.445066228,0.357442983,0,-1.029976327,-0.382593815
08/01/1981,0.49634733,0,0,0.513971106,-0.174079495,-0.77557676
09/01/1981,1.455862308,0,-0.717852306,0,0,0
12/01/1981,1.177046851,0,0.360409323,0.507922474,-1.418225011,-0.789679486
13/01/1981,0.231590187,0.440987547,0,-0.507922474,0,-0.400225237
14/01/1981,0.345158457,0.436554684,-0.360409323,0,0.537293817,0
15/01/1981,0.794788273,0,0,0,0.177601252,-0.81182098
16/01/1981,0.112373199,-0.436554684,0.360409323,0,0.353069856,0.81182098
19/01/1981,-0.792739639,0,-0.723834633,-0.513971106,-0.176154013,0.400225237
20/01/1981,-0.229170125,-0.440987547,-1.108887422,-0.520126681,-0.71197124,-0.400225237
21/01/1981,-0.57830926,-0.895190539,-0.376142137,-0.52639263,0.357454145,0.400225237
22/01/1981,0,-0.454838525,0.376142137,-1.072440944,-0.537293817,0
23/01/1981,0.116308907,0,0,0,0,-0.400225237
26/01/1981,-0.702398159,0,0,0,-0.361929008,0
27/01/1981,0.586089251,0,-0.755306973,0,-0.36492467,-0.81182098
28/01/1981,-0.350708521,0,0.379164836,0,0.182848894,0.81182098
29/01/1981,-0.235380731,0,-0.379164836,0,-0.366490648,-0.40401361
30/01/1981,-0.118158035,0,0.379164836,0.539550397,0.366490648,0.40401361
02/02/1981,-0.356490657,-0.459652531,1.681136597,-0.539550397,-0.366490648,-0.40401361
